id,user,name,homeLocation,location_formatted,lat,lng,worksFor,total
431588,dcrankshaw,Dan Crankshaw,"Berkeley, California","Berkeley, CA, USA",37.8715926,-122.272747,UC Berkeley,31
3925641,keypointt,Xin Ren,,,,,,32
545478,lianhuiwang,Lianhui Wang,China,China,35.86166,104.195397,,32
20197098,petermaxlee,petermaxlee,,,,,,32
4058918,jinxing64,jin xing,"Beijing, China","Beijing, China",39.90419989999999,116.4073963,,34
1387718,yjshen,Yijie Shen,"Beijing, China","Beijing, China",39.90419989999999,116.4073963,,34
98311,koeninger,Cody Koeninger,"Austin, TX","Austin, TX, USA",30.267153,-97.7430608,,35
1168928,xiajunluan,Andrew xia,"Shanghai, China","Shanghai, China",31.2303904,121.4737021,Intel,35
3230057,tejasapatil,Tejas Patil,"Menlo Park, California","Menlo Park, CA, USA",37.4529598,-122.1817252,Facebook,36
30604243,jose-torres,Jose Torres,,,,,,37
228998,andyk,Andy Konwinski,"Berkeley, California","Berkeley, CA, USA",37.8715926,-122.272747,UC Berkeley,37
2595532,clockfly,Sean Zhong,"Shanghai, China","Shanghai, China",31.2303904,121.4737021,,38
232889,alig,Ali Ghodsi,,,,,,38
104618,colorant,Raymond Liu,,,,,,39
11082368,actuaryzhang,Wayne Zhang,,,,,Uber,40
242468,nongli,Nong Li,,,,,Cerebro Data,40
62313,jaceklaskowski,Jacek Laskowski,"Warsaw, Poland","Warsaw, Poland",52.2296756,21.0122287,,41
235188,tedyu,tedyu,,,,,,42
6198920,tmyklebu,Tor Myklebust,,,,,,43
512364,falaki,Hossein Falaki,"San Francisco, CA","San Francisco, CA, USA",37.7749295,-122.4194155,Databricks,46
1378755,techaddict,Sandeep Singh,"Bangalore, India","Bengaluru, Karnataka, India",12.9715987,77.5945627,Amazon,46
2528327,sun-rui,sun-rui,,,,,,47
164491,zjffdu,Jeff Zhang,"Shanghai, China","Shanghai, China",31.2303904,121.4737021,Hortonworks,48
7275795,sethah,Seth Hendrickson,"San Francisco, CA","San Francisco, CA, USA",37.7749295,-122.4194155,Cloudera,48
24747,ijuma,Ismael Juma,"San Francisco, CA","San Francisco, CA, USA",37.7749295,-122.4194155,Confluent,48
1097932,gengliangwang,Gengliang Wang,,,,,,49
232966,mosharaf,Mosharaf Chowdhury,University of Michigan,"Ann Arbor, MI, USA",42.2780436,-83.7382241,University of Michigan,50
